epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.45753,1.90956,4.39795,1.73391,0.00745,0.5,0.01472,0.00659,1.20847,3.79509,1.48691,8e-05,8e-05,8e-05
2,5.24762,1.68254,4.11869,1.56318,0.00895,0.58333,0.02581,0.01149,1.22959,3.69025,1.44379,0.000169439,0.000169439,0.000169439
3,6.93528,1.55009,3.74791,1.40476,0.00746,0.5,0.03791,0.02137,1.28982,3.66772,1.41885,0.000258284,0.000258284,0.000258284
4,8.79653,1.42438,3.2132,1.33714,0.00912,0.58333,0.14486,0.0796,1.18044,3.54692,1.36067,0.000346535,0.000346535,0.000346535
5,10.6495,1.41174,2.76748,1.35125,0.00983,0.58333,0.23257,0.14308,1.04432,3.3196,1.21305,0.000434192,0.000434192,0.000434192
6,12.4433,1.53228,2.47185,1.31457,0.01114,0.58333,0.19815,0.13529,1.09148,3.28946,1.24605,0.000521255,0.000521255,0.000521255
7,14.3367,1.42908,2.2866,1.32781,0.01485,0.75,0.20471,0.13126,1.08386,3.13758,1.25731,0.000607724,0.000607724,0.000607724
8,16.2314,1.44005,2.24763,1.29966,0.64272,0.25,0.26845,0.1693,1.25713,2.93447,1.46053,0.000693599,0.000693599,0.000693599
9,17.9273,1.28521,2.15893,1.28294,0.63208,0.41667,0.2947,0.20358,1.16595,2.79477,1.36734,0.00077888,0.00077888,0.00077888
10,19.5044,1.34126,2.09065,1.31182,0.74554,0.25,0.32032,0.21755,1.1735,2.79199,1.437,0.000863567,0.000863567,0.000863567
11,21.121,1.27937,1.9446,1.19772,0.64619,0.32636,0.32236,0.19212,1.47905,2.79908,1.74777,0.00094766,0.00094766,0.00094766
12,22.6237,1.42628,2.00499,1.31849,0.76632,0.30138,0.37362,0.19994,1.48134,2.4601,1.7586,0.0009637,0.0009637,0.0009637
