epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.49119,1.64027,5.34383,4.15768,1.73925,0.00571,0.53131,0.02924,0.01351,0.00571,0.53131,0.02248,0.01203,1.48903,1.93536,3.79825,1.57901,8.888e-05,8.888e-05,8.888e-05
2,13.9403,1.48508,3.4548,3.9611,1.63815,0.00625,0.51313,0.0566,0.03484,0.00625,0.51313,0.0566,0.03469,1.41331,1.4513,3.79893,1.52062,0.000187,0.000187,0.000187
3,18.163,1.26788,2.14712,3.63379,1.38658,0.00541,0.53131,0.12676,0.07956,0.00513,0.48131,0.12641,0.07916,1.46303,1.42146,3.81729,1.52578,0.000283141,0.000283141,0.000283141
4,23.1667,1.28022,2.1746,3.39861,1.41284,0.0055,0.61616,0.14991,0.0821,0.00575,0.63434,0.15155,0.08225,1.47283,1.3695,3.71369,1.52252,0.000377301,0.000377301,0.000377301
5,29.4492,1.30656,1.6003,3.07385,1.39307,0.00575,0.6303,0.1135,0.07039,0.00614,0.67071,0.11403,0.06813,1.51556,1.56154,3.60453,1.57453,0.000469482,0.000469482,0.000469482
6,32.027,1.29759,1.83616,2.97532,1.35343,0.00568,0.56212,0.08815,0.03898,0.00586,0.5803,0.089,0.04228,1.67669,2.26457,3.62181,1.62081,0.000559683,0.000559683,0.000559683
7,36.0636,1.41178,1.92695,2.93693,1.45969,0.72745,0.125,0.21105,0.12145,0.72745,0.125,0.21095,0.11726,2.02457,2.92328,3.39994,1.91786,0.000647904,0.000647904,0.000647904
8,40.1951,1.30388,1.73958,2.63338,1.39363,0.62754,0.26136,0.22547,0.13537,0.62754,0.26136,0.22443,0.12899,1.77845,1.80151,3.08511,1.77018,0.000734145,0.000734145,0.000734145
9,44.3701,1.35541,1.51303,2.72879,1.3817,0.61586,0.24318,0.24645,0.14611,0.61586,0.24318,0.2462,0.14374,1.65511,1.55329,3.0103,1.62552,0.000818407,0.000818407,0.000818407
10,48.4519,1.35414,1.5187,2.87242,1.36145,0.66097,0.25879,0.27,0.13698,0.66097,0.25879,0.27,0.13322,1.91734,1.43739,3.18905,1.87181,0.000900689,0.000900689,0.000900689
11,52.7788,1.28329,1.70086,2.81958,1.31216,0.73182,0.14318,0.23139,0.13478,0.73182,0.14318,0.23154,0.13312,1.86726,1.792,3.09508,1.84978,0.000980991,0.000980991,0.000980991
